station_name,latitude,longitude,timestamp,free_bikes,empty_slots
Chilco & Barclay,49.291909,-123.140713,2025-05-13T06:28:19.789503+00:00Z,17,1
St George & Broadway,49.262321,-123.09306,2025-05-13T06:28:20.016492+00:00Z,4,9
Britannia Parking Lot,49.275882,-123.071865,2025-05-13T06:28:20.014847+00:00Z,1,12
Morton & Denman,49.28803,-123.142135,2025-05-13T06:28:19.634075+00:00Z,12,14
Thornton & National,49.273777,-123.092723,2025-05-13T06:28:20.014996+00:00Z,10,4
Burrard & 14th,49.259469,-123.145718,2025-05-13T06:28:19.956910+00:00Z,1,15
Olympic Village Station,49.266314,-123.116011,2025-05-13T06:28:19.588378+00:00Z,9,11
8th & Macdonald,49.264928,-123.168068,2025-05-13T06:28:20.221851+00:00Z,12,7
30th & Ontario,49.243375,-123.104978,2025-05-13T06:28:20.259825+00:00Z,3,19
Lakewood & Triumph,49.283968,-123.061615,2025-05-13T06:28:20.261154+00:00Z,7,8
13th & Cambie,49.259579,-123.114769,2025-05-13T06:28:20.163464+00:00Z,0,14
Arbutus & Nanton,49.247854,-123.153422,2025-05-13T06:28:20.222307+00:00Z,10,5
14th & Fraser,49.257939,-123.089531,2025-05-13T06:28:20.096616+00:00Z,5,9
15th & Victoria (Trout Lake),49.256857,-123.065646,2025-05-13T06:28:20.095857+00:00Z,5,13
Robson & Hornby,49.282758,-123.122092,2025-05-13T06:28:19.603160+00:00Z,0,19
Cardero & Robson,49.289255,-123.132677,2025-05-13T06:28:19.695590+00:00Z,11,14
1st & Scotia,49.2685027,-123.0975014,2025-05-13T06:28:19.940080+00:00Z,8,11
10th & Fraser,49.26151,-123.089413,2025-05-13T06:28:20.018005+00:00Z,4,10
Ontario & 5th,49.266724,-123.104824,2025-05-13T06:28:19.781095+00:00Z,9,10
Heather & 16th,49.256845,-123.120071,2025-05-13T06:28:19.885049+00:00Z,3,9
Richards & Smithe,49.279259,-123.119145,2025-05-13T06:28:19.741407+00:00Z,9,8
Robson & Beatty,49.277773,-123.114237,2025-05-13T06:28:19.632973+00:00Z,12,7
Maple Tree Square,49.283482,-123.103738,2025-05-13T06:28:19.589543+00:00Z,18,5
22nd & Main,49.25094,-123.101306,2025-05-13T06:28:20.260197+00:00Z,6,6
Carrall & Seawall,49.276294,-123.106534,2025-05-13T06:28:19.986953+00:00Z,5,12
Charles & Woodland,49.2731,-123.0732,2025-05-13T06:28:20.017079+00:00Z,13,1
1st & Manitoba,49.27023,-123.10651,2025-05-13T06:28:19.922309+00:00Z,11,17
St Catherines & 7th,49.264466,-123.085183,2025-05-13T06:28:20.021874+00:00Z,6,14
Triumph & Victoria,49.283986,-123.065264,2025-05-13T06:28:20.096223+00:00Z,9,8
18th & Main,49.254667,-123.101389,2025-05-13T06:28:20.017381+00:00Z,11,3
St Catherines & 10th,49.261353,-123.085333,2025-05-13T06:28:20.021682+00:00Z,0,0
Nelson & Richards,49.277844,-123.120942,2025-05-13T06:28:19.788423+00:00Z,7,9
Arbutus & 10th,49.262835,-123.152626,2025-05-13T06:28:19.787775+00:00Z,6,12
Comox & Denman,49.288444,-123.139203,2025-05-13T06:28:19.634386+00:00Z,9,9
Prince Edward & 14th,49.258352,-123.096337,2025-05-13T06:28:20.017701+00:00Z,4,10
Alexander & Railway,49.283992,-123.091206,2025-05-13T06:28:20.014537+00:00Z,16,4
Chilco & Beach,49.28972,-123.144028,2025-05-13T06:28:19.699262+00:00Z,14,0
Richards & Cordova,49.284554,-123.111031,2025-05-13T06:28:19.884527+00:00Z,5,5
Orchard Commons,49.259999,-123.250902,2025-05-13T06:28:20.262387+00:00Z,2,21
Strangway Building,49.2661,-123.24568,2025-05-13T06:28:20.263523+00:00Z,3,20
Yew & Broadway,49.263523,-123.155267,2025-05-13T06:28:20.222610+00:00Z,15,3
Woodland & 10th,49.261263,-123.073707,2025-05-13T06:28:20.016196+00:00Z,8,6
Ontario & 16th,49.256825,-123.105234,2025-05-13T06:28:19.885698+00:00Z,5,8
14th & Alder,49.258819,-123.131317,2025-05-13T06:28:19.957052+00:00Z,6,7
Chestnut & McNicoll,49.275938,-123.145939,2025-05-13T06:28:19.920140+00:00Z,4,11
Dunbar & 6th,49.266636,-123.183661,2025-05-13T06:28:20.220901+00:00Z,11,4
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,2025-05-13T06:28:19.790307+00:00Z,5,12
Yaletown-Roundhouse Station,49.274566,-123.121817,2025-05-13T06:28:19.587453+00:00Z,2,13
Smithe & Burrard,49.282503,-123.124697,2025-05-13T06:28:19.957645+00:00Z,6,9
Abbott & Cordova,49.282759,-123.106955,2025-05-13T06:28:19.633801+00:00Z,19,2
Sasamat & 10th,49.264019,-123.209176,2025-05-13T06:28:20.261742+00:00Z,6,15
Vine & 4th,49.268339,-123.157443,2025-05-13T06:28:19.921208+00:00Z,2,15
10th & Ontario,49.262062,-123.104656,2025-05-13T06:28:19.922422+00:00Z,9,10
Pine & 10th,49.262822,-123.14338,2025-05-13T06:28:19.956331+00:00Z,12,7
Canada Place,49.28725,-123.11298,2025-05-13T06:28:19.589713+00:00Z,9,13
Wallace & 4th,49.268974,-123.190701,2025-05-13T06:28:20.172120+00:00Z,8,9
Denman & Bayshore,49.293264,-123.132861,2025-05-13T06:28:19.938611+00:00Z,8,14
Pacific & Richards,49.273663,-123.127075,2025-05-13T06:28:19.695757+00:00Z,13,0
7th &  Alder,49.265198,-123.131043,2025-05-13T06:28:19.939569+00:00Z,12,4
Jervis & Robson,49.286646,-123.129232,2025-05-13T06:28:20.163267+00:00Z,16,3
Heather & 18th,49.255034,-123.120226,2025-05-13T06:28:20.224787+00:00Z,4,12
14th & Oak,49.258761,-123.127071,2025-05-13T06:28:19.956034+00:00Z,1,13
Bute & Comox,49.283343,-123.131099,2025-05-13T06:28:19.700911+00:00Z,4,16
Comox & Broughton,49.285253,-123.134356,2025-05-13T06:28:19.700719+00:00Z,4,8
Station & Terminal,49.272172,-123.097978,2025-05-13T06:28:20.171828+00:00Z,8,10
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,2025-05-13T06:28:19.790569+00:00Z,9,29
Woodland & 4th,49.266751,-123.073501,2025-05-13T06:28:20.016785+00:00Z,8,6
8th & Ash,49.264215,-123.117772,2025-05-13T06:28:19.588730+00:00Z,1,15
Burrard & Drake,49.27808,-123.130557,2025-05-13T06:28:19.789367+00:00Z,18,5
10th & Kingsway,49.261973,-123.09725,2025-05-13T06:28:19.938801+00:00Z,0,19
Beach & Hornby,49.27551,-123.13307,2025-05-13T06:28:19.699065+00:00Z,4,18
10th & Oak,49.262255,-123.126217,2025-05-13T06:28:19.791644+00:00Z,0,20
Hawks & Union,49.277333,-123.087359,2025-05-13T06:28:19.987304+00:00Z,13,3
Marinaside & Cooperage,49.273833,-123.114373,2025-05-13T06:28:19.741270+00:00Z,13,13
Alberni & Jervis,49.28763,-123.127245,2025-05-13T06:28:19.956626+00:00Z,11,9
7th & Arbutus,49.265605,-123.152566,2025-05-13T06:28:19.791347+00:00Z,4,11
14th & Ontario,49.25849,-123.104799,2025-05-13T06:28:19.885214+00:00Z,13,2
King Edward & Cambie,49.249184,-123.116141,2025-05-13T06:28:20.225726+00:00Z,7,11
1st & Fir,49.270783,-123.141564,2025-05-13T06:28:20.171313+00:00Z,9,11
Arbutus & 16th,49.257654,-123.153212,2025-05-13T06:28:19.791816+00:00Z,9,31
War Memorial Gym,49.2665793,-123.2485487,2025-05-13T06:28:20.263327+00:00Z,3,22
28th & Willow,49.246243,-123.124373,2025-05-13T06:28:20.222805+00:00Z,8,10
Arbutus Greenway & Fir,49.266774,-123.141135,2025-05-13T06:28:19.920805+00:00Z,5,10
West Mall Swing Space Building,49.263073,-123.254307,2025-05-13T06:28:20.262196+00:00Z,16,4
McLean & Pender,49.280427,-123.074082,2025-05-13T06:28:20.013812+00:00Z,12,4
Bute & Barclay,49.284893,-123.128685,2025-05-13T06:28:20.162713+00:00Z,19,9
Balsam & Cornwall,49.273011,-123.159663,2025-05-13T06:28:20.222193+00:00Z,7,9
Hastings & Broughton,49.290112,-123.127062,2025-05-13T06:28:19.645519+00:00Z,19,3
Seymour & Cordova,49.28512,-123.11242,2025-05-13T06:28:20.163105+00:00Z,12,7
