station_name,timestamp,free_bikes,empty_slots,avg_rrating,avg_rdist,best_rratingname,best_rrating,best_rdist,avg_prating,avg_pdist,best_pratingname,best_prating,best_pdist
Chilco & Barclay,2025-04-28T21:24:37.623693+00:00Z,4,13,4.27,375.56,Tre Viet,4.7,421.29139219381256,2.99,1253.77,The Well by Kunye,5.0,777.7551194024904
St George & Broadway,2025-04-28T21:24:38.388601+00:00Z,4,9,4.15,476.31,Mercato Di Luigi,4.5,322.18436390074976,2.81,1235.53,Evolution Fitness and Lagree,5.0,1381.8783286768587
Britannia Parking Lot,2025-04-28T21:24:38.387061+00:00Z,5,9,4.25,323.79,Magari by Oca,5.0,332.8923528642424,4.0,573.07,Spartacus Gym,4.0,573.0659750258259
Morton & Denman,2025-04-28T21:24:37.385717+00:00Z,3,20,4.32,196.19,Noah's Cafe,4.7,155.2581499436045,3.45,1346.82,The Well by Kunye,5.0,913.7841942041293
Thornton & National,2025-04-28T21:24:38.387197+00:00Z,6,8,4.13,667.08,Ekki Sushi,4.5,370.9406512991455,4.1,1395.51,Reform Pilates,5.0,1694.8885803139272
Burrard & 14th,2025-04-28T21:24:38.384108+00:00Z,5,13,4.28,668.9,Mazahr Lebanese Kitchen,4.7,597.6811175674088,3.41,933.01,Core Community,5.0,967.6394351581371
Olympic Village Station,2025-04-28T21:24:37.361621+00:00Z,8,11,4.27,573.51,Happy Noodle House,4.6,1352.4254989861706,4.45,1027.61,Tone Pilates,5.0,255.73910907393181
8th & Macdonald,2025-04-28T21:24:38.396535+00:00Z,9,11,4.36,519.75,Petite Bao,4.7,106.4304177995378,4.26,995.24,Boditree Pilates & Healing,5.0,1357.3369097953919
30th & Ontario,2025-04-28T21:24:38.398768+00:00Z,0,21,4.17,451.26,NUI,5.0,302.5225353260712,3.33,1008.33,Core Community - Main Street,5.0,268.36683799125166
Lakewood & Triumph,2025-04-28T21:24:38.399942+00:00Z,0,15,4.31,365.74,Peya,5.0,292.5827205865791,4.15,1300.39,Oxygen Yoga & Fitness,4.3,1060.3649159916351
13th & Cambie,2025-04-28T21:24:38.393622+00:00Z,4,10,4.1,437.77,The Greek By Anatoli - Broadway,4.4,399.54530996937876,3.34,657.8,Tone Pilates,5.0,912.4847817102827
Arbutus & Nanton,2025-04-28T21:24:38.397080+00:00Z,7,9,4.22,1526.65,Ramen DANBO,4.7,1509.1814876634785,5.0,1332.25,Alignmethod,5.0,1332.253579828845
14th & Fraser,2025-04-28T21:24:38.392206+00:00Z,0,16,4.13,353.67,Mercato Di Luigi,4.5,230.89083768049184,3.05,1348.05,Evolution Fitness and Lagree,5.0,851.3325787775318
15th & Victoria (Trout Lake),2025-04-28T21:24:38.391788+00:00Z,6,12,4.21,861.71,Kokomo,4.9,379.3639962439971,3.35,2012.95,Evolution Fitness and Lagree,5.0,1195.3770214952776
Robson & Hornby,2025-04-28T21:24:37.384660+00:00Z,13,6,4.25,428.99,Hello Nori ,4.5,429.99007050507254,4.16,574.55,Reform Pilates,5.0,921.2692546754005
Cardero & Robson,2025-04-28T21:24:37.386765+00:00Z,6,20,4.23,220.06,The Red Accordion,4.6,128.79087480609817,3.58,954.68,The Well by Kunye,5.0,236.13609678254227
1st & Scotia,2025-04-28T21:24:38.382487+00:00Z,3,16,4.22,482.42,Zarak By Afghan Kitchen,4.5,327.75715300838607,3.93,1478.38,Pilates Process - Vancouver,5.0,609.1887056773969
10th & Fraser,2025-04-28T21:24:38.390610+00:00Z,1,12,4.19,615.25,Mercato Di Luigi,4.5,248.67027880464403,3.05,1365.6,Evolution Fitness and Lagree,5.0,1152.5091148453876
Ontario & 5th,2025-04-28T21:24:37.513937+00:00Z,12,8,4.03,408.86,Kapow Burger,5.0,69.65438366602913,4.33,1289.05,Tone Pilates,5.0,1046.8795098116718
Heather & 16th,2025-04-28T21:24:37.781976+00:00Z,3,9,4.03,567.26,The Greek By Anatoli - Broadway,4.4,865.9048364415925,3.27,806.41,Tone Pilates,5.0,1158.770299287616
Richards & Smithe,2025-04-28T21:24:37.465949+00:00Z,11,4,4.47,480.85,Jerusalem Shawarma,5.0,128.28258238738152,4.2,575.2,Reform Pilates,5.0,890.5173143924967
Robson & Beatty,2025-04-28T21:24:37.385194+00:00Z,17,2,4.32,469.3,Okeya Kyujiro,4.9,455.4489884334078,4.17,740.7,Reform Pilates,5.0,800.2439377725881
Maple Tree Square,2025-04-28T21:24:37.383586+00:00Z,12,10,4.39,153.06,Kozak Ukrainian Restaurant,4.6,113.54521446070167,4.16,968.62,Reform Pilates,5.0,436.0546097454944
22nd & Main,2025-04-28T21:24:38.399043+00:00Z,3,9,4.3,350.6,Suyo Modern Peruvian,4.5,343.9443842613294,3.45,1519.76,Evolution Fitness and Lagree,5.0,1496.4753073865495
Carrall & Seawall,2025-04-28T21:24:38.385185+00:00Z,8,10,4.3,663.71,Sooda Korean BBQ,4.6,709.7961562214433,4.41,1041.39,Reform Pilates,5.0,918.6813508710097
Charles & Woodland,2025-04-28T21:24:38.389423+00:00Z,13,1,4.2,373.01,Magari by Oca,5.0,281.3890158038609,4.0,910.82,Spartacus Gym,4.0,370.2201198628957
1st & Manitoba,2025-04-28T21:24:38.311031+00:00Z,0,28,3.7,405.47,Blaze Gourmet Burgers,4.4,445.9071405114906,4.0,1344.5,Pilates Process - Vancouver,5.0,1038.5263088509073
St Catherines & 7th,2025-04-28T21:24:38.391202+00:00Z,7,13,4.39,896.98,Magari by Oca,5.0,1517.5427472628585,3.11,1331.77,Evolution Fitness and Lagree,5.0,1337.6315472308527
Triumph & Victoria,2025-04-28T21:24:38.391925+00:00Z,11,7,4.34,437.96,Peya,5.0,399.8129143593762,4.15,1391.95,Oxygen Yoga & Fitness,4.3,1315.1423678474653
18th & Main,2025-04-28T21:24:38.389727+00:00Z,2,13,4.32,355.79,Via Tevere Main Street,4.9,187.05197777848483,3.41,1209.18,Evolution Fitness and Lagree,5.0,1503.4490582550916
St Catherines & 10th,2025-04-28T21:24:38.391060+00:00Z,0,0,4.14,735.65,Mercato Di Luigi,4.5,474.07461232718856,3.05,1421.34,Evolution Fitness and Lagree,5.0,1007.7496369137965
Nelson & Richards,2025-04-28T21:24:37.557289+00:00Z,6,10,4.36,337.63,Okeya Kyujiro,4.9,241.48139739699948,4.1,620.03,Reform Pilates,5.0,1091.6316942481849
Arbutus & 10th,2025-04-28T21:24:37.540640+00:00Z,2,15,4.3,462.46,Ryu Katsu + Ramen Bar,4.7,113.54983827892414,3.71,796.18,Core Community,5.0,637.5242194135637
Comox & Denman,2025-04-28T21:24:37.385844+00:00Z,7,11,4.35,213.82,Noah's Cafe,4.7,62.6645058688772,3.83,1296.88,The Well by Kunye,5.0,697.8293076400864
Prince Edward & 14th,2025-04-28T21:24:38.390094+00:00Z,2,12,4.16,415.94,Mercato Di Luigi,4.5,391.496866248118,3.05,1325.61,Evolution Fitness and Lagree,5.0,1282.1720663525468
Alexander & Railway,2025-04-28T21:24:38.386790+00:00Z,12,7,4.18,517.0,The Mackenzie Room,4.5,281.4728583322016,4.11,1307.42,Reform Pilates,5.0,1335.7252159357388
Chilco & Beach,2025-04-28T21:24:37.387165+00:00Z,8,6,4.36,389.87,Noah's Cafe,4.7,331.5621142073942,2.82,1317.79,The Well by Kunye,5.0,1009.6307437311748
Richards & Cordova,2025-04-28T21:24:37.781366+00:00Z,0,16,4.28,341.64,The Magnet,4.7,237.40099986344688,4.2,747.07,Reform Pilates,5.0,106.2963826541101
Orchard Commons,2025-04-28T21:24:38.400910+00:00Z,8,15,4.06,740.69,Pho with Us,4.7,850.5918896994273,1.5,924.94,Golds Gym,1.5,924.9383011786334
Strangway Building,2025-04-28T21:24:38.402002+00:00Z,4,20,4.23,318.59,Seoul Hotdog,5.0,322.91384134883765,1.5,239.69,Golds Gym,1.5,239.68854689123322
Yew & Broadway,2025-04-28T21:24:38.397350+00:00Z,8,9,4.3,433.76,Ryu Katsu + Ramen Bar,4.7,134.17671869774517,3.71,785.91,Core Community,5.0,686.9230072137645
Woodland & 10th,2025-04-28T21:24:38.388316+00:00Z,4,10,4.22,718.27,Kokomo,4.9,914.4378696387517,2.9,1568.51,Evolution Fitness and Lagree,5.0,1078.4293212599148
Ontario & 16th,2025-04-28T21:24:37.871199+00:00Z,2,12,4.21,445.75,Via Tevere Main Street,4.9,320.42933853100527,3.78,1321.92,Tone Pilates,5.0,1541.2943125930549
14th & Alder,2025-04-28T21:24:38.384451+00:00Z,4,9,4.25,765.12,Nero Waffles,5.0,583.6581926400304,3.27,987.26,Core Community,5.0,1618.0089706961858
Chestnut & McNicoll,2025-04-28T21:24:38.262288+00:00Z,4,12,4.32,699.95,Cockney Kings Fish & Chips,4.9,414.3774887673818,3.49,1319.14,Core Community,5.0,909.5441860204351
Dunbar & 6th,2025-04-28T21:24:38.395513+00:00Z,10,6,4.27,429.16,Uncle Pu's Sichuan Taste,5.0,696.0973927248439,4.57,728.21,Boditree Pilates & Healing,5.0,237.4439063010978
Stanley Park - Vancouver Aquarium,2025-04-28T21:24:37.626175+00:00Z,13,3,4.15,768.33,The Red Accordion,4.6,1011.1895728279346,2.9,1346.09,The Well by Kunye,5.0,965.0462400853434
Yaletown-Roundhouse Station,2025-04-28T21:24:37.361329+00:00Z,8,7,4.31,195.87,Okeya Kyujiro,4.9,204.33583244088507,4.07,834.99,Reform Pilates,5.0,1398.8734146122968
Smithe & Burrard,2025-04-28T21:24:38.385046+00:00Z,6,11,4.23,370.82,Hello Nori ,4.5,359.15959349907314,4.16,636.7,Reform Pilates,5.0,1112.2176413473728
Abbott & Cordova,2025-04-28T21:24:37.385589+00:00Z,17,4,4.3,261.06,The Magnet,4.7,308.9892360020851,4.16,775.91,Reform Pilates,5.0,258.6139902738896
Sasamat & 10th,2025-04-28T21:24:38.400430+00:00Z,10,12,3.95,91.41,Bombay Masala Indian Restaurant,4.6,58.785152826445525,5.0,261.64,2nd Wind Body Science,5.0,261.63897603541966
Vine & 4th,2025-04-28T21:24:38.263463+00:00Z,5,13,4.28,297.31,Casereccio Foods,4.6,457.977994628394,3.53,906.68,Core Community,5.0,637.8265918614125
10th & Ontario,2025-04-28T21:24:38.311184+00:00Z,5,14,4.12,459.73,Carp,4.4,639.8266048451054,3.21,1040.63,Pilates Process - Vancouver,5.0,537.0430765541723
Pine & 10th,2025-04-28T21:24:38.383455+00:00Z,9,11,4.37,452.93,Mazahr Lebanese Kitchen,4.7,404.1507138742816,3.03,467.05,Beyond Pilates,5.0,135.2986050740219
Canada Place,2025-04-28T21:24:37.383885+00:00Z,13,12,4.17,806.16,Uncle Pu's Sichuan Taste,5.0,1269.0308334719853,4.96,771.25,Boditree Pilates & Healing,5.0,345.90723157023046
Wallace & 4th,2025-04-28T21:24:38.394923+00:00Z,12,6,4.16,311.69,The Red Accordion,4.6,344.387545082943,3.52,1008.4,The Well by Kunye,5.0,353.3154861498456
Denman & Bayshore,2025-04-28T21:24:38.369831+00:00Z,14,8,4.25,370.17,Manoush'eh,4.8,348.9844170515095,4.07,1003.56,Reform Pilates,5.0,1733.5452409882641
Pacific & Richards,2025-04-28T21:24:37.386900+00:00Z,4,10,4.25,615.43,Happy Noodle House,4.6,1331.9510660852227,4.31,1081.08,Core Community,5.0,1315.367884282221
7th &  Alder,2025-04-28T21:24:38.382053+00:00Z,6,10,4.19,272.4,Mount Everest Kitchen & Grill,4.6,431.85841563776825,4.23,943.16,Reform Pilates,5.0,400.2173561744543
Jervis & Robson,2025-04-28T21:24:38.393475+00:00Z,14,6,4.31,372.78,The Red Accordion,4.6,440.9388265183115,4.17,961.52,Reform Pilates,5.0,1446.4093502363805
Heather & 18th,2025-04-28T21:24:38.397623+00:00Z,6,10,4.05,657.76,Sula- Main Street,4.4,1614.5769987739523,3.27,1013.7,Core Community - Main Street,5.0,1940.0537569432965
14th & Oak,2025-04-28T21:24:38.383179+00:00Z,2,12,4.22,642.16,Homura Yakiniku,4.6,511.10312198391557,2.77,840.62,Beyond Pilates,5.0,1359.8698983312336
Bute & Comox,2025-04-28T21:24:37.399053+00:00Z,19,2,4.31,552.49,Tom Sushi,4.7,226.6484967242604,4.07,893.02,The Well by Kunye,5.0,811.2079053778078
Comox & Broughton,2025-04-28T21:24:37.398884+00:00Z,2,10,4.34,541.13,Tom Sushi,4.7,421.9511658027268,4.08,1125.09,The Well by Kunye,5.0,668.7736877224644
Station & Terminal,2025-04-28T21:24:38.394542+00:00Z,9,8,4.15,557.88,Ekki Sushi,4.5,178.6426447225003,4.16,1373.7,Reform Pilates,5.0,1591.7209319934507
Stanley Park - Third Beach Parking Lot,2025-04-28T21:24:37.669980+00:00Z,13,22,3.96,1579.06,Jinmi,4.5,1927.2980487536825,,,,,
Woodland & 4th,2025-04-28T21:24:38.388955+00:00Z,10,4,4.12,430.71,Cozen,4.5,601.7963373028084,2.67,1047.54,Spartacus Gym,4.0,568.824271749031
8th & Ash,2025-04-28T21:24:37.361886+00:00Z,9,7,4.11,355.3,The Greek By Anatoli - Broadway,4.4,415.1185132456716,4.38,982.21,Tone Pilates,5.0,353.8266067440102
Burrard & Drake,2025-04-28T21:24:37.622285+00:00Z,9,13,4.33,347.2,Manoush'eh,4.8,385.56118396009083,4.1,968.07,Core Community,5.0,1730.5348161431034
10th & Kingsway,2025-04-28T21:24:38.381221+00:00Z,5,14,4.13,263.04,Mercato Di Luigi,4.5,501.37681396709417,3.29,1290.44,Evolution Fitness and Lagree,5.0,1568.1077891648054
10th & Oak,2025-04-28T21:24:37.780299+00:00Z,13,5,4.21,530.85,Homura Yakiniku,4.6,123.4589093723062,2.9,842.75,Beyond Pilates,5.0,1306.550476351518
Hawks & Union,2025-04-28T21:24:38.385521+00:00Z,7,9,4.42,1092.44,Pho Khanh Express,5.0,551.3316741944203,3.72,1437.04,Trainor Movement,5.0,824.3094607415569
Marinaside & Cooperage,2025-04-28T21:24:37.465747+00:00Z,5,21,4.33,481.59,Okeya Kyujiro,4.9,448.2131365741774,4.21,1022.12,Reform Pilates,5.0,1214.796289268544
Alberni & Jervis,2025-04-28T21:24:38.383818+00:00Z,15,5,4.23,380.11,The Red Accordion,4.6,438.72666526604996,4.17,923.83,Reform Pilates,5.0,1331.0095119409796
7th & Arbutus,2025-04-28T21:24:37.675145+00:00Z,3,13,4.34,412.47,Ryu Katsu + Ramen Bar,4.7,220.33014822246741,3.71,719.83,Core Community,5.0,384.85438144508197
14th & Ontario,2025-04-28T21:24:37.870978+00:00Z,0,16,4.0,452.23,Published On Main,4.3,682.3296128148983,3.78,1282.19,Tone Pilates,5.0,1430.2605931751355
King Edward & Cambie,2025-04-28T21:24:38.397893+00:00Z,11,7,4.07,809.9,The Fish Counter,4.4,1093.115054450523,3.49,1187.63,Core Community - Main Street,5.0,1291.943750329123
1st & Fir,2025-04-28T21:24:38.394060+00:00Z,20,0,4.21,445.04,Toyokan Bowl,4.6,446.98233294436295,3.33,988.76,Core Community,5.0,604.0302756354146
Arbutus & 16th,2025-04-28T21:24:37.780464+00:00Z,6,34,4.32,1035.9,Ryu Katsu + Ramen Bar,4.7,673.2981126304281,3.48,1158.51,Core Community,5.0,1191.8534754426178
War Memorial Gym,2025-04-28T21:24:38.401844+00:00Z,6,19,4.18,322.01,Seoul Hotdog,5.0,108.12883270599512,1.5,449.8,Golds Gym,1.5,449.8049540498207
28th & Willow,2025-04-28T21:24:38.397488+00:00Z,6,13,3.87,833.0,Alley 16,4.4,1387.2203686472187,1.9,1241.04,Vancouver Pilates Centre,3.8,1241.0402574673255
Arbutus Greenway & Fir,2025-04-28T21:24:38.263002+00:00Z,6,9,4.13,482.52,Don at Kitsilano,4.5,981.6706130972123,3.41,669.02,Core Community,5.0,562.4155899933423
West Mall Swing Space Building,2025-04-28T21:24:38.400573+00:00Z,14,4,4.24,771.03,Seoul Hotdog,5.0,525.9937208213023,1.5,932.09,Golds Gym,1.5,932.0869460752722
McLean & Pender,2025-04-28T21:24:38.386243+00:00Z,13,3,4.27,453.55,Magari by Oca,5.0,855.6229042395554,4.0,1103.24,Spartacus Gym,4.0,1103.2446339422027
Bute & Barclay,2025-04-28T21:24:38.393018+00:00Z,25,2,4.3,365.27,Tom Sushi,4.7,468.9238617336712,4.2,930.36,Reform Pilates,5.0,1384.7282740175144
Balsam & Cornwall,2025-04-28T21:24:38.396944+00:00Z,7,11,4.25,555.25,CM Chicken,4.7,377.2659676802942,3.48,990.72,Core Community,5.0,975.6900432736645
Hastings & Broughton,2025-04-28T21:24:37.386099+00:00Z,14,8,4.23,459.43,The Red Accordion,4.6,341.6446043037372,3.8,939.32,Reform Pilates,5.0,1420.498242775164
Seymour & Cordova,2025-04-28T21:24:38.393296+00:00Z,13,5,4.23,346.94,The Magnet,4.7,313.2015747634895,4.2,773.88,Reform Pilates,5.0,222.60302361692976
Alder & 11th,2025-04-28T21:24:38.263965+00:00Z,3,10,4.41,565.06,Nero Waffles,5.0,571.7296337152493,3.4,956.56,Core Community,5.0,1426.0030692145249
10th & Columbia,2025-04-28T21:24:38.310640+00:00Z,8,3,4.18,542.34,The Greek By Anatoli - Broadway,4.4,253.9832642004442,3.54,1109.53,Pilates Process - Vancouver,5.0,852.9650428765752
Heather & 14th,2025-04-28T21:24:37.672425+00:00Z,7,8,4.19,485.98,Tops Chef Persian Restaurant,5.0,327.6009128618819,2.77,668.54,Lagree West,5.0,1535.9399728798237
Commercial & 20th,2025-04-28T21:24:38.394366+00:00Z,3,15,4.22,651.38,Kokomo,4.9,136.19330504996398,3.35,2024.66,Evolution Fitness and Lagree,5.0,937.3903005465378
Kitsilano Beach Park,2025-04-28T21:24:38.263158+00:00Z,12,23,4.08,382.98,Cockney Kings Fish & Chips,4.9,441.69796548443,3.53,1019.36,Core Community,5.0,734.102584541094
Rolston & Granville,2025-04-28T21:24:38.393920+00:00Z,11,11,4.28,415.83,Manoush'eh,4.8,413.1792785298146,4.14,1133.23,Core Community,5.0,1524.0625198980147
Cordova & Bute,2025-04-28T21:24:37.385972+00:00Z,9,4,4.12,440.79,Miku,4.4,691.4912403746332,4.16,786.89,Reform Pilates,5.0,1043.3179597545413
12th & Yukon (City Hall),2025-04-28T21:24:37.361754+00:00Z,5,10,4.14,423.33,The Greek By Anatoli - Broadway,4.4,260.48544358299364,3.34,660.8,Tone Pilates,5.0,848.4148822352058
Blenheim & 4th,2025-04-28T21:24:38.395840+00:00Z,2,21,4.36,436.11,Uncle Pu's Sichuan Taste,5.0,571.1307142685897,3.91,843.53,Boditree Pilates & Healing,5.0,626.2234026115478
Wylie & 2nd,2025-04-28T21:24:38.261966+00:00Z,7,9,4.17,600.77,Happy Noodle House,4.6,1354.5405009298331,4.13,1103.49,Tone Pilates,5.0,447.1195197672529
Thurlow & Pendrell,2025-04-28T21:24:37.781622+00:00Z,9,7,4.26,444.09,Tom Sushi,4.7,170.31469742971336,4.07,944.93,Core Community,5.0,1941.9330944663748
